"","hhid","hvidx"
"1","        1  4",1
"2","        1  4",2
"3","        1  4",3
"4","        1 10",1
"5","        1 10",2
"6","        1 10",3
"7","        1 10",4
"8","        1 16",1
"9","        1 16",2
"10","        1 16",3
"11","        1 16",4
"12","        1 16",5
"13","        1 22",1
"14","        1 22",2
"15","        1 22",3
"16","        1 22",4
"17","        1 22",5
"18","        1 34",1
"19","        1 34",2
"20","        1 34",3
"21","        1 40",1
"22","        1 46",1
"23","        1 46",2
"24","        1 46",3
"25","        1 52",1
"26","        1 52",2
"27","        1 52",3
"28","        1 52",4
"29","        1 58",1
"30","        1 58",2
"31","        1 58",3
"32","        1 58",4
"33","        1 58",5
"34","        1 58",6
"35","        1 58",7
"36","        1 58",8
"37","        1 58",9
"38","        1 58",10
"39","        1 64",1
"40","        1 64",2
"41","        1 64",3
"42","        1 81",1
"43","        1 81",2
"44","        1 87",1
"45","        1 93",1
"46","        1 93",2
"47","        1 99",1
"48","        1 99",2
"49","        1 99",3
"50","        1 99",4
"51","        1 99",5
"52","        1105",1
"53","        1105",2
"54","        1105",3
"55","        1105",4
"56","        1105",5
"57","        1111",1
"58","        1111",2
"59","        1111",3
"60","        1111",4
"61","        1123",1
"62","        1123",2
"63","        1123",3
"64","        1129",1
"65","        1129",2
"66","        1129",3
"67","        1129",4
"68","        1129",5
"69","        1129",6
"70","        1135",1
"71","       26  1",1
"72","       26  1",2
"73","       26  2",1
"74","       26  2",2
"75","       26  3",1
"76","       26  3",2
"77","       26  3",3
"78","       26  3",4
"79","       26  3",5
"80","       26  4",1
"81","       26  4",2
"82","       26  4",3
"83","       26  4",4
"84","       26  4",5
"85","       26  4",6
"86","       26  4",7
"87","       26  4",8
"88","       26  5",1
"89","       26  5",2
"90","       26  5",3
"91","       26  5",4
"92","       26  5",5
"93","       26  5",6
"94","       26  6",1
"95","       26  6",2
"96","       26  6",3
"97","       26  7",1
"98","       26  7",2
"99","       26  7",3
"100","       26  7",4
"101","       26  7",5
"102","       26  8",1
"103","       26  8",2
"104","       26  8",3
"105","       26 25",1
"106","       26 25",2
"107","       26 25",3
"108","       26 25",4
"109","       26 25",5
"110","       26 25",6
"111","       26 25",7
"112","       26 26",1
"113","       26 26",2
"114","       26 26",3
"115","       26 26",4
"116","       26 26",5
"117","       26 26",6
"118","       26 26",7
"119","       26 27",1
"120","       26 27",2
"121","       26 27",3
"122","       26 27",4
"123","       26 27",5
"124","       26 27",6
"125","       26 28",1
"126","       26 28",2
"127","       26 29",1
"128","       26 29",2
"129","       26 29",3
"130","       26 29",4
"131","       26 29",5
"132","       26 29",6
"133","       26 29",7
"134","       26 30",1
"135","       26 30",2
"136","       26 31",1
"137","       26 32",1
"138","       26 32",2
"139","       26 32",3
"140","       26 32",4
"141","       26 32",5
"142","       26 32",6
"143","       26 32",7
"144","       26 32",8
"145","       26 49",1
"146","       26 49",2
"147","       26 50",1
"148","       26 50",2
"149","       26 51",1
"150","       26 51",2
"151","       26 51",3
"152","       26 51",4
"153","       26 51",5
"154","       26 52",1
"155","       26 52",2
"156","       26 52",3
"157","       26 52",4
"158","       26 53",1
"159","       26 53",2
"160","       26 53",3
"161","       26 53",4
"162","       26 54",1
"163","       26 54",2
"164","       26 54",3
"165","       26 55",1
"166","       26 55",2
"167","       26 55",3
"168","       26 55",4
"169","       26 55",5
"170","       26 56",1
"171","       26 56",2
"172","       26 56",3
"173","       26 56",4
"174","       26 56",5
"175","       26 72",1
"176","       26 72",2
"177","       26 72",3
"178","       26 72",4
"179","       26 72",5
"180","       26 73",1
"181","       26 74",1
"182","       26 74",2
"183","       26 74",3
"184","       26 75",1
"185","       26 75",2
"186","       26 75",3
"187","       26 75",4
"188","       26 75",5
"189","       26 75",6
"190","       26 75",7
"191","       26 75",8
"192","       26 75",9
"193","       26 75",10
"194","       26 76",1
"195","       26 76",2
"196","       26 77",1
"197","       26 77",2
"198","       26 77",3
"199","       26 77",4
"200","       26 77",5
"201","       26 77",6
"202","       26 77",7
"203","       26 77",8
"204","       26 77",9
"205","       26 78",1
"206","       26 78",2
"207","       26 78",3
"208","       26 78",4
"209","       26 79",1
"210","       26 79",2
"211","       26 79",3
"212","       26 79",4
"213","       26 79",5
"214","       26 79",6
"215","       26 96",1
"216","       26 96",2
"217","       26 96",3
"218","       26 97",1
"219","       26 97",2
"220","       26 97",3
"221","       26 97",4
"222","       26 97",5
"223","       26 97",6
"224","       26 98",1
"225","       26 98",2
"226","       26 98",3
"227","       26 98",4
"228","       26 98",5
"229","       26 98",6
"230","       26 99",1
"231","       26 99",2
"232","       26 99",3
"233","       26 99",4
"234","       26100",1
"235","       26100",2
"236","       26100",3
"237","       26100",4
"238","       26101",1
"239","       26101",2
"240","       26101",3
"241","       26101",4
"242","       26101",5
"243","       26101",6
"244","       26101",7
"245","       26102",1
"246","       26102",2
"247","       26102",3
"248","       26102",4
"249","       26102",5
"250","       26102",6
"251","       26103",1
"252","       26103",2
"253","       26103",3
"254","       26103",4
"255","       26103",5
"256","       41  9",1
"257","       41  9",2
"258","       41  9",3
"259","       41  9",4
"260","       41  9",5
"261","       41 10",1
"262","       41 10",2
"263","       41 10",3
"264","       41 10",4
