id,temp,,
59,age,,
1,b3,,"age, b3, b4, b5, b9, bidx, caseid, hc27, hhid, m1, m13, m14, m15, m1d, m2a, m2b, m2c, m2d, m2e, m2f, m2g, m2h, m2i, m2j, m2k, m2l, m2m, m3a, m3b, m3c, m3d, m3e, m3f, m3g, m3h, m3i, m3j, m3k, m3l, m3m, m3n, m42c, m42d, m42e, m43, m45, m60, m61, period, state, treated_status, treatment_start, v001, v002, v003, v005, v008, v012, v013, v021, v022, v024, v025, v026, v106, v190, v208, v467b, v467c, v467d, v467f, wt, year, year_treated"
2,b4,,
3,b5,,
4,b9,,"age, b3, b4, b5, b9, bidx, caseid, hc27, hhid, m1, m13, m14, m15, m1d, m2a, m2b, m2c, m2d, m2e, m2f, m2g, m2h, m2i, m2j, m2k, m2l, m2m, m3a, m3b, m3c, m3d, m3e, m3f, m3g, m3h, m3i, m3j, m3k, m3l, m3m, m3n, m42c, m42d, m42e, m43, m45, m60, m61, period, state, treated_status, treatment_start, v001, v002, v003, v005, v008, v012, v013, v021, v022, v024, v025, v026, v106, v190, v208, v467b, v467c, v467d, v467f, wt, year, year_treated"
6,bidx,,
5,caseid,,
165,ch_allvac_card,,
163,ch_allvac_either,,
164,ch_allvac_moth,,
174,ch_ari,,
175,ch_ari_care,,
176,ch_ari_care_day,,
179,ch_ari_govcent,,
180,ch_ari_govcent_trt,,
177,ch_ari_govh,,
178,ch_ari_govh_trt,,
181,ch_ari_pclinc,,
182,ch_ari_pclinc_trt,,
183,ch_ari_pdoc,,
184,ch_ari_pdoc_trt,,
185,ch_ari_pharm,,
186,ch_ari_pharm_trt,,
120,ch_bcg_card,,
118,ch_bcg_either,,
119,ch_bcg_moth,,
173,ch_below_2p5,,
169,ch_card_ever_had,,
170,ch_card_seen,,
188,ch_fev_care,,
189,ch_fev_care_day,,
187,ch_fever,,
162,ch_meas_card,,
160,ch_meas_either,,
161,ch_meas_moth,,
168,ch_novac_card,,
166,ch_novac_either,,
167,ch_novac_moth,,
127,ch_pent1_card,,
121,ch_pent1_either,,
124,ch_pent1_moth,,
128,ch_pent2_card,,
122,ch_pent2_either,,
125,ch_pent2_moth,,
129,ch_pent3_card,,
123,ch_pent3_either,,
126,ch_pent3_moth,,
148,ch_pneumo1_card,,
142,ch_pneumo1_either,,
145,ch_pneumo1_moth,,
149,ch_pneumo2_card,,
143,ch_pneumo2_either,,
146,ch_pneumo2_moth,,
150,ch_pneumo3_card,,
144,ch_pneumo3_either,,
147,ch_pneumo3_moth,,
138,ch_polio0_card,,
130,ch_polio0_either,,
134,ch_polio0_moth,,
139,ch_polio1_card,,
131,ch_polio1_either,,
135,ch_polio1_moth,,
140,ch_polio2_card,,
132,ch_polio2_either,,
136,ch_polio2_moth,,
141,ch_polio3_card,,
133,ch_polio3_either,,
137,ch_polio3_moth,,
172,ch_report_bw,,
157,ch_rotav1_card,,
151,ch_rotav1_either,,
154,ch_rotav1_moth,,
158,ch_rotav2_card,,
152,ch_rotav2_either,,
155,ch_rotav2_moth,,
159,ch_rotav3_card,,
153,ch_rotav3_either,,
156,ch_rotav3_moth,,
171,ch_size_birth,,
252,ch_stool_dispose,,
253,ch_stool_safe,,
291,dm_ag_land_ha,,
298,dm_age_of_hh_head,,
280,dm_capital,,
292,dm_cattle_own,,
254,dm_children_under12,,
279,dm_city,,
255,dm_cooking_fuel,,
256,dm_cooking_fuel_traditional,,
288,dm_cooking_house,,
289,dm_cooking_outdoor,,
290,dm_cooking_separate,,
263,dm_decide_all,,
257,dm_decide_health,,
260,dm_decide_health_self,,
258,dm_decide_hhpurch,,
261,dm_decide_hhpurch_self,,
264,dm_decide_none,,
259,dm_decide_visits,,
262,dm_decide_visits_self,,
266,dm_dvjustify_argue,,
265,dm_dvjustify_burn,,
267,dm_dvjustify_goout,,
268,dm_dvjustify_neglect,,
270,dm_dvjustify_onereas,,
269,dm_dvjustify_refusesex,,
297,dm_female_headed,,
293,dm_goat_own,,
274,dm_havesay_condom,,
273,dm_havesay_refusesex,,
272,dm_justify_cond,,
271,dm_justify_refusesex,,
283,dm_middle,,
275,dm_num_decide,,
276,dm_num_justifydv,,
282,dm_poorer,,
281,dm_poorest,,
295,dm_poultry_own,,
296,dm_refrigerator,,
284,dm_richer,,
285,dm_richest,,
277,dm_rural,,
287,dm_shared_toilet,,
294,dm_sheep_own,,
278,dm_town,,
286,dm_weath_index,,
319,group_treated,,
314,hc27,,
299,hhid,,
15,m1,,
44,m13,,
45,m14,,
46,m15,,
16,m1d,,
17,m2a,,
18,m2b,,
19,m2c,,
20,m2d,,
21,m2e,,
22,m2f,,
23,m2g,,
24,m2h,,
25,m2i,,
26,m2j,,
27,m2k,,
28,m2l,,
29,m2m,,
30,m3a,,
31,m3b,,
32,m3c,,
33,m3d,,
34,m3e,,
35,m3f,,
36,m3g,,
37,m3h,,
38,m3i,,
39,m3j,,
40,m3k,,
41,m3l,,
42,m3m,,
43,m3n,,
47,m42c,,
48,m42d,,
49,m42e,,
50,m43,,
51,m45,,
52,m60,,
53,m61,,
239,ms_afm_15,,
240,ms_afm_18,,
241,ms_afm_20,,
242,ms_afm_22,,
243,ms_afm_25,,
246,ms_afs_15,,
247,ms_afs_18,,
248,ms_afs_20,,
249,ms_afs_22,,
250,ms_afs_25,,
244,ms_age,,
238,ms_cowives_any,,
237,ms_cowives_num,,
236,ms_mar_never,,
234,ms_mar_stat,,
235,ms_mar_union,,
245,ms_sex_never,,
251,ms_sex_recent,,
205,nt_ageapp_bf,,
212,nt_bbyfood,,
207,nt_bf_cont_1yr,,
208,nt_bf_cont_2yr,,
201,nt_bf_curr,,
195,nt_bf_ever,,
198,nt_bf_prelac,,
199,nt_bf_prelac_nobirthrecord,,
197,nt_bf_start_1day,,
196,nt_bf_start_1hr,,
202,nt_bf_status,,
200,nt_bottle,,
310,nt_ch_any_anem,,
302,nt_ch_haz,,
193,nt_ch_micro_dwm,,
194,nt_ch_micro_iod,,
227,nt_ch_micro_irf,,
191,nt_ch_micro_iron,,
190,nt_ch_micro_mp,,
226,nt_ch_micro_vaf,,
192,nt_ch_micro_vas,,
311,nt_ch_mild_anem,,
312,nt_ch_mod_anem,,
309,nt_ch_ovwt_age,,
305,nt_ch_ovwt_ht,,
313,nt_ch_sev_anem,,
300,nt_ch_sev_stunt,,
307,nt_ch_sev_underwt,,
303,nt_ch_sev_wast,,
301,nt_ch_stunt,,
308,nt_ch_underwt,,
304,nt_ch_wast,,
306,nt_ch_whz,,
220,nt_dairy,,
203,nt_ebf,,
219,nt_eggs,,
222,nt_fed_milk,,
206,nt_food_bf,,
209,nt_formula,,
215,nt_frtveg,,
213,nt_grains,,
211,nt_liquids,,
225,nt_mad,,
223,nt_mdd,,
218,nt_meatfish,,
210,nt_milk,,
224,nt_mmf,,
217,nt_nuts,,
204,nt_predo_bf,,
216,nt_root,,
221,nt_solids,,
214,nt_vita,,
61,period,,
106,rc_agri,,
90,rc_edu,,
101,rc_empl,,
105,rc_empl_cont,,
104,rc_empl_earn,,
103,rc_empl_type,,
112,rc_hins_any,,
109,rc_hins_comm,,
108,rc_hins_empl,,
111,rc_hins_other,,
110,rc_hins_priv,,
107,rc_hins_ss,,
98,rc_intr_ever,,
99,rc_intr_use12mo,,
100,rc_intr_usefreq,,
92,rc_litr,,
91,rc_litr_cats,,
96,rc_media_allthree,,
93,rc_media_newsp,,
97,rc_media_none,,
95,rc_media_radio,,
94,rc_media_tv,,
102,rc_occup,,
117,rc_tobc_chew,,
113,rc_tobc_cig,,
114,rc_tobc_other,,
115,rc_tobc_smk_any,,
116,rc_tobc_snuffn,,
74,rh_anc_4mo,,
72,rh_anc_4vs,,
79,rh_anc_bldpres,,
81,rh_anc_bldsamp,,
76,rh_anc_iron,,
75,rh_anc_median,,
73,rh_anc_moprg,,
83,rh_anc_neotet,,
71,rh_anc_numvs,,
77,rh_anc_parast,,
78,rh_anc_prgcomp,,
69,rh_anc_pv,,
70,rh_anc_pvskill,,
82,rh_anc_toxinj,,
80,rh_anc_urine,,
66,rh_del_ces,,
67,rh_del_cestime,,
62,rh_del_place,,
63,rh_del_pltype,,
64,rh_del_pv,,
65,rh_del_pvskill,,
68,rh_del_stay,,
87,rh_prob_alone,,
86,rh_prob_dist,,
88,rh_prob_minone,,
85,rh_prob_money,,
84,rh_prob_permit,,
315,state,,
318,treated_status,,
317,treatment_start,,
228,v001,,
229,v002,,
230,v003,,
7,v005,,
8,v008,,
9,v012,,
231,v013,,
10,v021,,
11,v022,,
233,v024,,
12,v025,,
232,v026,,
13,v106,,
14,v190,,
54,v208,,
55,v467b,,
56,v467c,,
57,v467d,,
58,v467f,,
60,wt,,
89,year,,
316,year_treated,,
