"","caseid"
"1","        1  4  2"
"2","        1 10  2"
"3","        1 16  2"
"4","        1 16  3"
"5","        1 22  2"
"6","        1 22  3"
"7","        1 34  2"
"8","        1 46  2"
"9","        1 52  2"
"10","        1 58  4"
"11","        1 58  5"
"12","        1 58  6"
"13","        1 58  8"
"14","        1 64  2"
"15","        1 81  1"
"16","        1 87  1"
"17","        1 99  3"
"18","        1105  5"
"19","        1111  3"
"20","        1123  2"
"21","        1129  2"
"22","        2  9  2"
"23","        2 19  1"
"24","        2 29  1"
"25","        2 29  3"
"26","        2 29  6"
"27","        2 34  2"
"28","        2 39  1"
"29","        2 49  6"
"30","        2 54  1"
"31","        2 59  2"
"32","        2 74  2"
"33","        2 79  1"
"34","        2 84  2"
"35","        2 89  2"
"36","        2 94  2"
"37","        2 99  2"
"38","        2104  2"
"39","        2109  2"
"40","        2114  2"
"41","        2114  3"
"42","        2119  2"
"43","        2124  2"
"44","        2124  4"
"45","        2129  2"
"46","        2139  2"
"47","        2144  2"
"48","        2159  2"
"49","        2169  2"
"50","        2174  2"
"51","        2179  2"
"52","        2199  2"
"53","        3  3  3"
"54","        3  7  2"
"55","        3 15  7"
"56","        3 19  4"
"57","        3 19  6"
"58","        3 24  1"
"59","        3 28  2"
"60","        3 32  2"
"61","        3 36  2"
"62","        3 40  3"
"63","        3 44  4"
"64","        3 52  2"
"65","        3 64  2"
"66","        3 68  2"
"67","        3 76  1"
"68","        4  4  2"
"69","        4 10  2"
"70","        4 15  1"
"71","        4 21  2"
"72","        4 21  5"
"73","        4 31  1"
"74","        4 31  2"
"75","        4 31  3"
"76","        4 37  2"
"77","        4 37  3"
"78","        4 42  4"
"79","        4 48  3"
"80","        4 53  3"
"81","        4 69  3"
"82","        4 75  1"
"83","        4 85  3"
"84","        4 85  4"
"85","        4 91  3"
"86","        4 96  2"
"87","        4101  2"
"88","        4101  3"
"89","        4107  1"
"90","        4112  3"
"91","        4118  2"
"92","        6  1  5"
"93","        6  4  1"
"94","        6  4  3"
"95","        6  9  2"
"96","        6 12  2"
"97","        6 12  4"
"98","        6 15  2"
"99","        6 15  4"
"100","        6 25  2"
"101","        6 44  2"
"102","        6 54  2"
"103","        6 57  2"
"104","        6 57  6"
"105","        6 59  2"
"106","        6 62  2"
"107","        6 70  3"
"108","        6 73  3"
"109","        6 78  2"
"110","        7  2  2"
"111","        7  5  2"
"112","        7  7  1"
"113","        7 14  3"
"114","        7 17  1"
"115","        7 19  2"
"116","        7 22  2"
"117","        7 24  2"
"118","        7 24  3"
"119","        7 24  4"
"120","        7 31  3"
"121","        7 34  2"
"122","        7 34  4"
"123","        7 36  2"
"124","        7 36  3"
"125","        7 36  4"
"126","        7 36  7"
"127","        7 41  2"
"128","        7 41  3"
"129","        7 43  2"
"130","        7 50  2"
"131","        7 50  8"
"132","        7 55  2"
"133","        7 60  2"
"134","        7 62  4"
"135","        7 67  5"
"136","        7 70  2"
"137","        7 72  2"
"138","        7 75  2"
"139","        7 77  2"
"140","        7 79  2"
"141","        7 79  7"
"142","        7 84  2"
"143","        7 87  2"
"144","        7 89  2"
"145","        7 89  3"
"146","        8  6  2"
"147","        8 11  4"
"148","        8 23  1"
"149","        8 28  2"
"150","        8 32  1"
"151","        8 36  2"
"152","        8 40  3"
"153","        8 45  2"
"154","        8 45  3"
"155","        8 49  2"
"156","        8 49  5"
"157","        8 53  2"
"158","        8 57  1"
"159","        8 62  2"
"160","        8 62  3"
"161","       11  2  2"
"162","       11  4  2"
"163","       11  6  2"
"164","       11  7  2"
"165","       11  7  5"
"166","       11  9  5"
"167","       11 23  2"
"168","       11 27  5"
"169","       11 27  7"
"170","       11 29  3"
"171","       11 31  2"
"172","       11 34  2"
"173","       11 36  2"
"174","       11 40  2"
"175","       11 40  8"
"176","       11 42  3"
"177","       11 42  7"
"178","       11 44  1"
"179","       11 44  5"
"180","       11 46  2"
"181","       11 50  2"
"182","       11 52  2"
"183","       11 55  2"
"184","       11 55  3"
"185","       11 57  3"
"186","       11 57  5"
"187","       11 61  2"
"188","       11 67  2"
"189","       11 71  3"
"190","       11 71  4"
"191","       11 71  5"
"192","       11 71  6"
"193","       11 71  7"
"194","       12  2  2"
"195","       12 10  2"
"196","       12 12  2"
"197","       12 23  2"
"198","       12 28  1"
"199","       12 30  2"
"200","       12 33  2"
"201","       12 41  3"
"202","       12 43  3"
"203","       12 46  4"
"204","       12 49  5"
"205","       12 51  5"
"206","       12 54  3"
"207","       12 56  1"
"208","       12 59  1"
"209","       12 62  2"
"210","       12 64  4"
"211","       12 72  1"
"212","       12 77  2"
"213","       12 80  2"
"214","       12 85  2"
"215","       12 88  2"
"216","       12 88  5"
"217","       12 95  2"
"218","       12101  3"
"219","       13  2  1"
"220","       13  4  5"
"221","       13  7  2"
"222","       13 12  2"
"223","       13 15  2"
"224","       13 18  3"
"225","       13 20  2"
"226","       13 23  2"
"227","       13 26  1"
"228","       13 34  2"
"229","       13 34  3"
"230","       13 34  5"
"231","       13 36  2"
"232","       13 39  2"
"233","       13 42  4"
"234","       13 42  5"
"235","       13 44  3"
"236","       13 44  4"
"237","       13 47  1"
"238","       13 50  1"
"239","       13 50  3"
"240","       13 50  7"
"241","       13 50  8"
"242","       13 55  2"
"243","       13 58  2"
"244","       13 60  2"
"245","       13 66  2"
"246","       13 68  2"
"247","       13 74  2"
"248","       13 76  2"
"249","       13 79  2"
"250","       13 82  3"
"251","       13 84  4"
"252","       13 84  6"
"253","       13 84  7"
"254","       13 87  2"
"255","       13 90  2"
"256","       13 92  1"
"257","       13 95  2"
"258","       13 98  2"
"259","       13103  2"
"260","       13106  1"
"261","       16  1  1"
"262","       16  9  1"
"263","       16 11  2"
"264","       16 16  2"
"265","       16 18  1"
"266","       16 20  2"
"267","       16 22  2"
"268","       17  4  1"
"269","       17 10  2"
"270","       17 18  1"
"271","       17 18  2"
"272","       17 23  2"
"273","       17 26  2"
"274","       17 29  2"
"275","       17 34  1"
"276","       17 37  2"
"277","       17 39  2"
"278","       17 48  7"
"279","       17 50  2"
"280","       17 53  4"
"281","       18  5  2"
"282","       18  8  2"
"283","       18 12  2"
"284","       18 15  2"
"285","       18 22  2"
"286","       18 25  2"
"287","       18 29  2"
"288","       18 29  3"
"289","       18 35  2"
"290","       18 39  2"
"291","       18 45  2"
"292","       18 49  2"
"293","       18 49  4"
"294","       18 52  2"
"295","       18 56  2"
"296","       18 62  2"
"297","       18 73  3"
"298","       18 73  5"
"299","       18 76  2"
"300","       21  8  2"
"301","       21 13  2"
"302","       21 34  2"
"303","       21 39  2"
"304","       21 47  2"
"305","       21 47  3"
"306","       21 52  2"
"307","       21 55  1"
"308","       22 26  2"
"309","       22 27  3"
"310","       22 28  2"
"311","       22 29  2"
"312","       22 29  9"
"313","       22 32  6"
"314","       22 50  2"
"315","       22 51  2"
"316","       22 52  2"
"317","       22 54  2"
"318","       22 54  5"
"319","       22 55  2"
"320","       22 55  3"
"321","       22 55  4"
"322","       22 55  6"
"323","       22 56  2"
"324","       22 81  2"
"325","       22 82  2"
"326","       22 83  2"
"327","       22 84  2"
"328","       22 85  4"
"329","       22 87  2"
"330","       22 88  2"
"331","       22105  1"
"332","       22106  2"
"333","       22107  3"
"334","       22108  1"
"335","       22110  2"
"336","       22111  2"
"337","       22112  2"
"338","       22137  2"
"339","       22138  3"
"340","       22140  2"
"341","       22140  3"
"342","       22142  2"
"343","       22143  2"
"344","       22144  2"
"345","       23  9  2"
"346","       23  9  4"
"347","       23 10  2"
"348","       23 11  2"
"349","       23 13  2"
"350","       23 15  2"
"351","       23 34  2"
"352","       23 34  3"
"353","       23 34  5"
"354","       23 35  2"
"355","       23 37  2"
"356","       23 38  6"
"357","       23 39  2"
"358","       23 40  2"
"359","       23 40  7"
"360","       23 57  2"
"361","       23 60  2"
"362","       23 61  6"
"363","       23 62  2"
