variable,label
nt_ch_sev_stunt__Yes,Severely stunted child under 5 years (Yes)
nt_ch_stunt__Yes,Stunted child under 5 years (Yes)
nt_ch_sev_wast__Yes,Severely wasted child under 5 years (Yes)
nt_ch_wast__Yes,Wasted child under 5 years (Yes)
nt_ch_ovwt_ht__Yes,Overweight for height child under 5 years (Yes)
nt_ch_sev_underwt__Yes,Severely underweight child under 5 years (Yes)
nt_ch_underwt__Yes,Underweight child under 5 years (Yes)
nt_ch_ovwt_age__Yes,Overweight for age child under 5 years (Yes)
nt_ch_any_anem__Yes,Any anemia - child 6-59 months (Yes)
nt_ch_mild_anem__Yes,Mild anemia - child 6-59 months (Yes)
nt_ch_mod_anem__Yes,Moderate anemia - child 6-59 months (Yes)
nt_ch_sev_anem__Yes,Severe anemia - child 6-59 months (Yes)
rh_del_ces__Yes,Live births delivered by Caesarean (Yes)
rh_anc_pvskill__Yes,Skilled assistance during ANC (Yes)
rh_anc_4vs__Yes,Attended 4+ ANC visits (Yes)
rh_anc_4mo__Yes,Attended ANC <4 months of pregnancy (Yes)
rh_anc_iron__Yes,Took iron tablet/syrup during pregnancy of last birth (Yes)
rh_anc_parast__Yes,Took intestinal parasite drugs during pregnancy of last birth (Yes)
rh_anc_prgcomp__Yes,Informed of pregnancy complications during ANC visit (Yes)
rh_anc_bldpres__Yes,Blood pressure was taken during ANC visit (Yes)
rh_anc_urine__Yes,Urine sample was taken during ANC visit (Yes)
rh_anc_bldsamp__Yes,Blood sample was taken during ANC visit (Yes)
rh_anc_toxinj__Yes,Received 2+ tetanus injections during last pregnancy (Yes)
rh_prob_permit__Yes,Problem health care access: permission to go (Yes)
rh_prob_money__Yes,Problem health care access: getting money (Yes)
rh_prob_dist__Yes,Problem health care access: distance to facility (Yes)
rh_prob_alone__Yes,Problem health care access: not wanting to go alone (Yes)
rh_prob_minone__Yes,At least one problem in accessing health care (Yes)
rc_litr__Yes,Literate - higher than secondary or can read part or whole sentence (Yes)
rc_media_newsp__Yes,Reads a newspaper at least once a week (Yes)
rc_media_tv__Yes,Watches television at least once a week (Yes)
rc_media_radio__Yes,Listens to radio at least once a week (Yes)
rc_media_allthree__Yes,Accesses to all three media at least once a week (Yes)
rc_media_none__Yes,Accesses none of the three media at least once a week (Yes)
rc_intr_ever__Yes,Ever used the internet (Yes)
rc_intr_use12mo__Yes,Used the internet in the past 12 months (Yes)
rc_hins_ss__Yes,Health insurance coverage - social security (Yes)
rc_hins_empl__Yes,Health insurance coverage - other employer-based insurance (Yes)
rc_hins_comm__Yes,Health insurance coverage - mutual health org. or community-based insurance (Yes)
rc_hins_priv__Yes,Health insurance coverage - privately purchased commercial insurance (Yes)
rc_tobc_cig__Yes,Smokes cigarettes (Yes)
rc_tobc_other__Yes,Smokes other type of tobacco (Yes)
rc_tobc_smk_any__Yes,Smokes any type of tobacco (Yes)
rc_tobc_snuffn__Yes,Uses snuff smokeless tobacco by nose (Yes)
rc_tobc_chew__Yes,Chews tobacco (Yes)
rc_tobv_betel__Yes,Uses betel quid with tobacco (Yes)
rc_tobc_osmkless__Yes,Uses other type of smokeless tobacco (Yes)
rc_tobc_anysmkless__Yes,Uses any type of smokeless tobacco (Yes)
rc_tobc_any__Yes,Uses any type of tobacco - smoke or smokeless (Yes)
nt_wm_any_anem__Yes,Any anemia - women (Yes)
nt_wm_mild_anem__Yes,Mild anemia - women (Yes)
nt_wm_mod_anem__Yes,Moderate anemia - women (Yes)
nt_wm_sev_anem__Yes,Severe anemia - women (Yes)
nt_wm_ht__Yes,Height under 145cm - women (Yes)
nt_wm_norm__Yes,Normal BMI - women (Yes)
nt_wm_thin__Yes,Thin BMI - women (Yes)
nt_wm_mthin__Yes,Mildly thin BMI - women (Yes)
nt_wm_modsevthin__Yes,Moderately and severely thin BMI - women (Yes)
nt_wm_ovobese__Yes,Overweight or obese BMI - women (Yes)
nt_wm_ovwt__Yes,Overweight BMI - women (Yes)
nt_wm_obese__Yes,Obese BMI - women (Yes)
nt_wm_micro_dwm__Yes,Women who took deworming medication during last pregnancy (Yes)
ch_bcg_either__Yes,BCG vaccination according to either source (Yes)
ch_bcg_moth__Yes,BCG vaccination according to mother (Yes)
ch_bcg_card__Yes,BCG vaccination according to card (Yes)
ch_pent1_either__Yes,Pentavalent 1st dose vaccination according to either source (Yes)
ch_pent2_either__Yes,Pentavalent 2nd dose vaccination according to either source (Yes)
ch_pent3_either__Yes,Pentavalent 3rd dose vaccination according to either source (Yes)
ch_pent1_moth__Yes,Pentavalent 1st dose vaccination according to mother (Yes)
ch_pent2_moth__Yes,Pentavalent 2nd dose vaccination according to mother (Yes)
ch_pent3_moth__Yes,Pentavalent 3rd dose vaccination according to mother (Yes)
ch_pent1_card__Yes,Pentavalent 1st dose vaccination according to card (Yes)
ch_pent2_card__Yes,Pentavalent 2nd dose vaccination according to card (Yes)
ch_pent3_card__Yes,Pentavalent 3rd dose vaccination according to card (Yes)
ch_polio0_either__Yes,Polio at birth vaccination according to either source (Yes)
ch_polio1_either__Yes,Polio 1st dose vaccination according to either source (Yes)
ch_polio2_either__Yes,Polio 2nd dose vaccination according to either source (Yes)
ch_polio3_either__Yes,Polio 3rd dose vaccination according to either source (Yes)
ch_polio0_moth__Yes,Polio at birth vaccination according to mother (Yes)
ch_polio1_moth__Yes,Polio 1st dose vaccination according to mother (Yes)
ch_polio2_moth__Yes,Polio 2nd dose vaccination according to mother (Yes)
ch_polio3_moth__Yes,Polio 3rd dose vaccination according to mother (Yes)
ch_polio0_card__Yes,Polio at birth vaccination according to card (Yes)
ch_polio1_card__Yes,Polio 1st dose vaccination according to card (Yes)
ch_polio2_card__Yes,Polio 2nd dose vaccination according to card (Yes)
ch_polio3_card__Yes,Polio 3rd dose vaccination according to card (Yes)
ch_pneumo1_either__Yes,Pneumococcal 1st dose vaccination according to either source (Yes)
